gene_name,gene_id,logFC,logCPM,PValue,FDR,raw_read_count_x23908x30,raw_read_count_x23908x31,raw_read_count_x23908x16,rpkm_x23908x30,rpkm_x23908x31,rpkm_x23908x16
Wsb1,78889,1.4584674552438297,6.202440713527762,7.112036286903664e-7,3.1652614626035776e-6,621,536,457,15.457508739415017,10.596084448354452,29.13639451302161
Shroom2,110380,-1.7546996833146844,5.477386469052709,7.13277357458718e-7,3.1737524837808493e-6,631,758,59,6.1390264273021256,5.856957463643954,1.470259057886922
NA,102636546,-3.5744961811554803,3.03772277454771,7.166821070979326e-7,3.188160603372412e-6,150,102,3,1.563473439328207,0.8443687292805502,0.08009256672769932
Nhlh2,18072,-8.757550492272397,2.2473407395681444,7.182486938736936e-7,3.1940199278181337e-6,50,92,0,1.4355291193202337,2.0977926049118607,0
NA,115487155,1.498137541914902,5.280091570779299,7.183331285946496e-7,3.1940199278181337e-6,340,268,247,1.3977545910325608,0.8750231136686147,2.600882137197328
NA,118568295,-8.713421346153828,2.206538906541945,7.203806318708478e-7,3.202379793119175e-6,84,53,0,2.224609077689749,1.1147641899495093,0
Spib,272382,4.5980257001779865,0.014502236383904507,7.206252840070476e-7,3.2027232424870707e-6,2,2,15,0.05438801772360283,0.04319524593558641,1.0448073091155299
Zc3h6,78751,-2.013191265399808,4.447814589689183,7.208948619624424e-7,3.203143946044623e-6,328,348,24,6.314692064912612,5.320963722320915,1.1834809820388972
Cox6a1,12861,-2.006281317306415,6.901361366991154,7.210547731988809e-7,3.203143946044623e-6,1350,2527,138,244.15468588319578,362.9687684225592,63.926671149705136
Drp2,13497,-1.7516721130446098,5.3760850121323465,7.254245624961875e-7,3.221807835245951e-6,677,613,55,7.696250827198824,5.534568153053206,1.6014926226649933
NA,115489490,3.753828058299924,0.5817587331962387,7.312249301035927e-7,3.246815174674411e-6,8,2,20,0.5923906466211595,0.11761993147452678,3.7933237463372564
Gjc2,118454,-3.8338892625433054,2.7435119707895836,7.430560037024823e-7,3.2985824869697433e-6,101,102,2,3.2157449392866715,2.579248065390686,0.1631029909256268
