gene_name_ms,sample_id,rpkm,mouse_num,tumor_type,p_value,p_adj_bonferroni,p_adj_fdr
Itga11,x14154x08,5.783027752248215,3143,subq,0.027733076761040615,0.859725379592259,0.0741992688306477
Itga2,x14154x08,3.320440751614437,3143,subq,0.023601045935873626,0.7316324240120824,0.0741992688306477
Itga2b,x14154x08,3.6141820226445063,3143,subq,0.03111582241285226,0.9645904947984201,0.0741992688306477
Itga3,x14154x08,6.0754426995402255,3143,subq,0.5511058931163526,1,0.5924258440516275
Itga4,x14154x08,6.204391390803125,3143,subq,0.0520000070222274,1,0.09482354221700291
Itga5,x14154x08,8.614770737510161,3143,subq,0.08875411633298577,1,0.13454782725793998
Itga6,x14154x08,5.949403216235275,3143,subq,0.09114530233602386,1,0.13454782725793998
Itga7,x14154x08,6.324644470038244,3143,subq,0.0647297692395202,1,0.10561172875921716
Itga8,x14154x08,6.875257222013338,3143,subq,0.030203998749291423,0.9363239612280341,0.0741992688306477
Itga9,x14154x08,5.430549315564859,3143,subq,0.5542048218547483,1,0.5924258440516275
Itgad,x14154x08,6.517595026478458,3143,subq,0.020828407777871937,0.64568064111403,0.0741992688306477
Itgae,x14154x08,5.491035977724092,3143,subq,0.36772396923891304,1,0.4222015943113446
Itgal,x14154x08,5.729678787744081,3143,subq,0.20718221752655147,1,0.267610364305129
Itgam,x14154x08,6.8981318647492165,3143,subq,0.601828703603746,1,0.6218896603905375
Itgav,x14154x08,5.323690119355358,3143,subq,4.438781934106865e-5,0.0013760223995731282,6.880111997865641e-4
Itgax,x14154x08,7.225291586298845,3143,subq,0.22857448127802016,1,0.283432356784745
Itgb1,x14154x08,14.809184086586992,3143,subq,7.670691398475437e-5,0.0023779143335273855,7.926381111757952e-4
Itgb1bp1,x14154x08,1.439947095652531,3143,subq,0.004546460104315552,0.14094026323378211,0.028188052646756424
Itgb1bp2,x14154x08,4.694985649985164,3143,subq,0.025795247296450965,0.7996526661899799,0.0741992688306477
Itgb2,x14154x08,6.265270819685188,3143,subq,0.3343362577558925,1,0.398631691939718
Itgb2l,x14154x08,2.4630423552866825,3143,subq,0.03836315151805552,1,0.08494697836140866
